Parameter 'function'=<function get_omission_datasets.<locals>.pair_func at 0x7b47391ad280> of the transform datasets.arrow_dataset.Dataset._map_single couldn't be hashed properly, a random hash was used instead. Make sure your transforms and parameters are serializable with pickle or dill for the dataset fingerprinting and caching to work. If you reuse this transform, the caching mechanism will consider it to be different from the previous calls and recompute everything. This warning is only showed once. Subsequent hashing failures won't be showed.
Sample 382554 of the training set: {'input_ids': [0, 44518, 39322, 35, 166, 33, 5, 27362, 98, 24, 18, 117, 936, 479, 2, 2, 36926, 13700, 31275, 802, 14, 5, 1901, 4972, 197, 28, 205, 13, 19888, 472, 7, 5, 6063, 797, 4, 50118, 44518, 39322, 2528, 14, 24, 115, 45, 28, 1365, 7, 304, 5, 20808, 2441, 8, 6741, 31275, 18, 2979, 4, 50118, 33347, 4827, 1507, 6, 5, 165, 1276, 7, 304, 1901, 4972, 5043, 8, 27913, 39322, 1507, 4, 2], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 1}.
***** Running training *****
  Num examples = 575970
  Num Epochs = 3
  Instantaneous batch size per device = 32
  Total train batch size (w. parallel, distributed & accumulation) = 32
  Gradient Accumulation steps = 1
  Total optimization steps = 54000
Loss at step 10: 1.0397
Loss at step 20: 0.6566
Loss at step 30: 0.5077
Loss at step 40: 0.4883
Loss at step 50: 0.5959
Loss at step 60: 0.5106
Loss at step 70: 0.6342
Loss at step 80: 0.5066
Loss at step 90: 0.4501
Loss at step 100: 0.7015
Loss at step 110: 0.8512
Loss at step 120: 0.6671
Loss at step 130: 0.5972
Loss at step 140: 0.4041
Loss at step 150: 0.6221
Loss at step 160: 0.5197
Loss at step 170: 0.5007
Loss at step 180: 0.4168
Loss at step 190: 0.6697
Loss at step 200: 0.2395
Loss at step 210: 0.6004
Loss at step 220: 0.3221
Loss at step 230: 0.6522
Loss at step 240: 0.2867
Loss at step 250: 0.5162
Loss at step 260: 0.6863
Loss at step 270: 0.4917
Loss at step 280: 0.5553
Loss at step 290: 0.5547
Loss at step 300: 0.4235
Loss at step 310: 0.5972
Loss at step 320: 0.5078
Loss at step 330: 0.3357
Loss at step 340: 0.4163
Loss at step 350: 0.5433
Loss at step 360: 0.4585
Loss at step 370: 0.6933
Loss at step 380: 0.7167
Loss at step 390: 0.5300
Loss at step 400: 0.5580
Loss at step 410: 0.7617
Loss at step 420: 0.5431
Loss at step 430: 0.5039
Loss at step 440: 0.5872
Loss at step 450: 1.1994
Loss at step 460: 0.8387
Loss at step 470: 0.5551
Loss at step 480: 0.8022
Loss at step 490: 0.9810
Loss at step 500: 0.4851
Loss at step 510: 0.5716
Loss at step 520: 0.5588
Loss at step 530: 0.3105
Loss at step 540: 0.6374
Loss at step 550: 0.5195
Loss at step 560: 0.3457
Loss at step 570: 0.4533
Loss at step 580: 0.5042
Loss at step 590: 0.4581
Loss at step 600: 0.4442
Loss at step 610: 0.5986
Loss at step 620: 0.5100
Loss at step 630: 0.5011
Loss at step 640: 0.5410
Loss at step 650: 0.6233
Loss at step 660: 0.5608
Loss at step 670: 0.4708
Loss at step 680: 0.7006
Loss at step 690: 0.4887
Loss at step 700: 0.4918
Loss at step 710: 0.4006
Loss at step 720: 0.3881
Loss at step 730: 0.3794
Loss at step 740: 0.5127
Loss at step 750: 0.3701
Loss at step 760: 0.3006
Loss at step 770: 0.4665
Loss at step 780: 0.5147
Loss at step 790: 0.4553
Loss at step 800: 0.5454
Loss at step 810: 0.1877
Loss at step 820: 0.6059
Loss at step 830: 0.4591
Loss at step 840: 0.4859
Loss at step 850: 0.8260
Loss at step 860: 0.4371
Loss at step 870: 0.4659
Loss at step 880: 0.6263
Loss at step 890: 0.4701
Loss at step 900: 0.5207
Loss at step 910: 0.2636
Loss at step 920: 0.7846
Loss at step 930: 0.4845
Loss at step 940: 0.4752
Loss at step 950: 0.9306
Loss at step 960: 0.6066
Loss at step 970: 0.3469
Loss at step 980: 0.7134
Loss at step 990: 0.5397
Loss at step 1000: 0.3064
Loss at step 1010: 0.6604
Loss at step 1020: 0.7020
Loss at step 1030: 0.6383
Loss at step 1040: 0.5035
Loss at step 1050: 0.2720
Loss at step 1060: 0.5009
Loss at step 1070: 0.5820
Loss at step 1080: 0.6330
Loss at step 1090: 0.4174
Loss at step 1100: 0.5121
Loss at step 1110: 0.3215
Loss at step 1120: 0.5073
Loss at step 1130: 0.5139
Loss at step 1140: 0.3363
Loss at step 1150: 0.3822
Loss at step 1160: 0.4860
Loss at step 1170: 0.4069
Loss at step 1180: 0.6822
Loss at step 1190: 0.4550
Loss at step 1200: 0.5380
Loss at step 1210: 0.4192
Loss at step 1220: 0.2923
Loss at step 1230: 0.5430
Loss at step 1240: 0.3072
Loss at step 1250: 0.2248
Loss at step 1260: 0.5474
Loss at step 1270: 0.5491
