Sample 10476 of the training set: {'input_ids': [0, 133, 3097, 3978, 5, 165, 14, 5, 165, 21, 15, 759, 508, 4, 50118, 894, 2002, 5, 165, 7, 422, 15491, 7, 1532, 61, 2433, 58, 5, 144, 505, 4, 50118, 133, 3097, 2327, 14, 5, 695, 21, 164, 88, 10, 319, 9, 430, 4, 50118, 894, 67, 2327, 14, 24, 74, 28, 769, 12, 1902, 2340, 1938, 14, 51, 956, 7, 1477, 819, 15, 99, 51, 222, 45, 14518, 4, 2, 2, 0, 2264, 222, 5, 3097, 206, 59, 5, 26794, 13433, 9, 5, 695, 116, 47385, 2, 0, 44385, 211, 35, 235, 479, 5143, 2156, 24, 630, 75, 173, 479, 407, 2156, 11, 10, 169, 2156, 14, 128, 29, 2156, 47, 216, 2156, 14, 128, 29, 2345, 9, 5, 7353, 631, 16, 14, 190, 2156, 224, 15, 5, 709, 278, 2682, 14, 52, 794, 2156, 5, 2156, 37463, 2156, 5, 1530, 14, 2156, 37463, 2156, 14, 22202, 26591, 21, 562, 77, 8348, 66, 5, 275, 881, 1530, 2156, 25522, 31375, 1536, 9834, 24303, 24, 21, 95, 25522, 417, 32062, 6920, 254, 24303, 47, 216, 2156, 24, 938, 75, 205, 615, 13, 25522, 417, 32062, 6920, 254, 24303, 13, 25522, 44970, 24303, 10, 25522, 417, 32062, 6920, 254, 24303, 10, 25522, 417, 32062, 6920, 254, 24303, 13, 10, 588, 467, 479, 2, 0, 17297, 495, 83, 35, 256, 5471, 479, 256, 119, 111, 1368, 5471, 479, 2, 0, 44385, 211, 35, 370, 25522, 417, 32062, 6920, 254, 24303, 47, 25522, 417, 32062, 6920, 254, 24303, 47, 2156, 25522, 31375, 1536, 9834, 24303, 7252, 407, 2156, 37463, 2156, 52, 202, 33, 2682, 7, 109, 479, 2, 0, 17297, 495, 83, 35, 8976, 479, 2, 0, 44385, 211, 35, 23129, 2156, 8, 2156, 37463, 38, 218, 75, 216, 407, 2156, 546, 23, 5, 414, 2156, 147, 2156, 47, 216, 25522, 417, 32062, 6920, 254, 24303, 99, 128, 29, 5, 25522, 417, 32062, 6920, 254, 24303, 99, 128, 29, 25522, 417, 32062, 6920, 254, 24303, 99, 128, 29, 3553, 99, 128, 29, 26293, 939, 364, 11380, 2156, 38, 206, 14, 128, 29, 25522, 417, 32062, 6920, 254, 24303, 14, 128, 29, 10, 205, 631, 479, 8901, 10, 143, 47, 33, 143, 4312, 59, 99, 1493, 25522, 31375, 1536, 9834, 24303, 1423, 47, 128, 241, 2053, 14, 47, 399, 75, 120, 7, 14, 47, 74, 101, 7, 109, 114, 47, 56, 55, 86, 17487, 23129, 2, 0, 17297, 495, 381, 35, 5534, 2156, 856, 10, 319, 9, 631, 479, 3047, 52, 667, 10, 319, 9, 579, 25522, 44970, 24303, 631, 2156, 8, 52, 630, 75, 173, 2156, 25522, 31375, 1536, 9834, 24303, 52, 3438, 209, 479, 5359, 25522, 31375, 1536, 9834, 24303, 52, 667, 456, 19, 5, 33087, 25911, 1905, 479, 38, 218, 75, 216, 2230, 142, 52, 1381, 25522, 417, 32062, 6920, 254, 24303, 52, 25522, 417, 32062, 6920, 254, 24303, 103, 25522, 417, 32062, 6920, 254, 24303, 65, 9280, 14, 630, 75, 173, 479, 12698, 2156, 18774, 24, 2156, 402, 25522, 44970, 24303, 38, 218, 75, 216, 2230, 2, 0, 44385, 211, 35, 256, 119, 111, 1368, 5471, 479, 2, 0, 2], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': [-1, 0, 1, 5]}.
***** Running training *****
  Num examples = 10950
  Num Epochs = 5
  Instantaneous batch size per device = 2
  Total train batch size (w. parallel, distributed & accumulation) = 2
  Gradient Accumulation steps = 1
  Total optimization steps = 27375
Loss at step 10: 4.3558
Loss at step 20: 2.8760
Loss at step 30: 3.3445
Loss at step 40: 2.4118
Loss at step 50: 6.9797
Loss at step 60: 4.4306
Loss at step 70: 1.0993
Loss at step 80: 3.2705
Loss at step 90: 3.3352
Loss at step 100: 3.1517
Loss at step 110: 1.6961
Loss at step 120: 2.1319
Loss at step 130: 1.8368
Loss at step 140: 2.4337
Loss at step 150: 2.4770
Loss at step 160: 8.9474
Loss at step 170: 3.2543
Loss at step 180: 4.9638
Loss at step 190: 1.7891
Loss at step 200: 2.5141
Loss at step 210: 2.2573
Loss at step 220: 4.4822
Loss at step 230: 2.3105
Loss at step 240: 2.2284
Loss at step 250: 3.0076
Loss at step 260: 1.2925
Loss at step 270: 1.8327
Loss at step 280: 2.4181
Loss at step 290: 1.6880
Loss at step 300: 2.4188
Loss at step 310: 1.5726
Loss at step 320: 2.7714
Loss at step 330: 2.3814
Loss at step 340: 4.9772
Loss at step 350: 1.5172
Loss at step 360: 1.0879
Loss at step 370: 2.1983
Loss at step 380: 2.2918
Loss at step 390: 5.5735
Loss at step 400: 0.9849
Loss at step 410: 3.6017
Loss at step 420: 2.1131
Loss at step 430: 1.9471
Loss at step 440: 2.5484
Loss at step 450: 2.6167
Loss at step 460: 4.0042
Loss at step 470: 1.9663
Loss at step 480: 1.3972
Loss at step 490: 1.8589
Loss at step 500: 1.3851
Loss at step 510: 1.7264
Loss at step 520: 2.4833
Loss at step 530: 1.5186
Loss at step 540: 3.1307
Loss at step 550: 2.8683
Loss at step 560: 2.1389
Loss at step 570: 2.6687
Loss at step 580: 2.4300
Loss at step 590: 2.1607
Loss at step 600: 1.7922
Loss at step 610: 2.4542
Loss at step 620: 1.6480
Loss at step 630: 1.8492
Loss at step 640: 1.7644
Loss at step 650: 2.2756
Loss at step 660: 2.4048
Loss at step 670: 2.6683
Loss at step 680: 2.3717
Loss at step 690: 1.7273
Loss at step 700: 1.8463
Loss at step 710: 2.0726
Loss at step 720: 3.1109
Loss at step 730: 3.1928
Loss at step 740: 1.6329
Loss at step 750: 2.3159
Loss at step 760: 2.1939
Loss at step 770: 1.6414
Loss at step 780: 3.5227
Loss at step 790: 0.8830
Loss at step 800: 1.7891
Loss at step 810: 2.3741
Loss at step 820: 1.6334
Loss at step 830: 1.6070
Loss at step 840: 1.7373
Loss at step 850: 2.1545
Loss at step 860: 2.4234
Loss at step 870: 2.4230
Loss at step 880: 0.8353
Loss at step 890: 2.2546
Loss at step 900: 1.8253
Loss at step 910: 1.8430
Loss at step 920: 0.8294
Loss at step 930: 2.4933
Loss at step 940: 2.2055
Loss at step 950: 2.6955
Loss at step 960: 2.5146
Loss at step 970: 1.5785
Loss at step 980: 2.7024
Loss at step 990: 2.7718
Loss at step 1000: 2.6290
Loss at step 1010: 1.0223
Loss at step 1020: 1.7017
Loss at step 1030: 2.3796
Loss at step 1040: 1.9366
Loss at step 1050: 1.8885
Loss at step 1060: 2.1527
Loss at step 1070: 2.8561
Loss at step 1080: 3.3044
Loss at step 1090: 1.5793
Loss at step 1100: 1.6051
Loss at step 1110: 2.1774
Loss at step 1120: 1.4395
Loss at step 1130: 1.7764
Loss at step 1140: 1.5597
Loss at step 1150: 2.5299
Loss at step 1160: 1.7952
Loss at step 1170: 1.6604
Loss at step 1180: 3.6401
Loss at step 1190: 1.9778
Loss at step 1200: 1.8072
Loss at step 1210: 2.7403
Loss at step 1220: 1.2407
Loss at step 1230: 1.5920
Loss at step 1240: 1.2938
Loss at step 1250: 1.1055
Loss at step 1260: 2.1225
Loss at step 1270: 2.0290
Loss at step 1280: 2.5617
Loss at step 1290: 2.2069
Loss at step 1300: 1.3980
Loss at step 1310: 2.4582
Loss at step 1320: 1.4973
Loss at step 1330: 1.2473
Loss at step 1340: 0.4441
Loss at step 1350: 2.4931
Loss at step 1360: 2.2589
Loss at step 1370: 1.0147
Loss at step 1380: 1.1721
Loss at step 1390: 1.7744
Loss at step 1400: 0.8624
Loss at step 1410: 1.5695
Loss at step 1420: 1.2830
Loss at step 1430: 1.7781
Loss at step 1440: 1.8624
Loss at step 1450: 1.6863
Loss at step 1460: 1.1161
Loss at step 1470: 1.2319
Loss at step 1480: 2.0554
Loss at step 1490: 3.0708
Loss at step 1500: 1.7058
Loss at step 1510: 2.0619
Loss at step 1520: 1.4203
Loss at step 1530: 2.1376
Loss at step 1540: 1.9728
Loss at step 1550: 2.0995
Loss at step 1560: 1.7208
Loss at step 1570: 0.9752
Loss at step 1580: 1.5865
Loss at step 1590: 2.6294
Loss at step 1600: 1.1610
Loss at step 1610: 2.0488
Loss at step 1620: 1.1671
Loss at step 1630: 1.2242
Loss at step 1640: 1.8211
Loss at step 1650: 1.9190
Loss at step 1660: 1.0765
Loss at step 1670: 2.0099
Loss at step 1680: 1.8778
Loss at step 1690: 1.3194
Loss at step 1700: 1.6362
Loss at step 1710: 1.9016
Loss at step 1720: 1.7404
Loss at step 1730: 0.9720
Loss at step 1740: 0.9105
Loss at step 1750: 2.5471
Loss at step 1760: 1.6974
Loss at step 1770: 1.6791
Loss at step 1780: 1.4489
Loss at step 1790: 2.0509
Loss at step 1800: 1.5524
Loss at step 1810: 1.0510
Loss at step 1820: 3.1208
Loss at step 1830: 1.4812
Loss at step 1840: 2.6178
Loss at step 1850: 1.7604
Loss at step 1860: 1.7370
Loss at step 1870: 2.2834
Loss at step 1880: 1.1893
Loss at step 1890: 2.3943
Loss at step 1900: 0.6786
Loss at step 1910: 1.0462
Loss at step 1920: 2.5612
Loss at step 1930: 1.4146
Loss at step 1940: 1.4023
Loss at step 1950: 1.4016
Loss at step 1960: 2.6642
Loss at step 1970: 2.0896
Loss at step 1980: 1.6426
Loss at step 1990: 2.0156
Loss at step 2000: 1.8215
Loss at step 2010: 3.8451
Loss at step 2020: 1.6439
Loss at step 2030: 1.9300
Loss at step 2040: 2.3230
Loss at step 2050: 1.9989
Loss at step 2060: 2.3492
Loss at step 2070: 2.0169
Loss at step 2080: 1.4688
Loss at step 2090: 1.3198
Loss at step 2100: 1.4661
Loss at step 2110: 1.4768
Loss at step 2120: 2.2716
Loss at step 2130: 0.2458
Loss at step 2140: 2.9491
Loss at step 2150: 1.6645
Loss at step 2160: 1.4639
Loss at step 2170: 1.4306
Loss at step 2180: 1.6701
Loss at step 2190: 0.9981
Loss at step 2200: 1.1163
Loss at step 2210: 0.5795
Loss at step 2220: 1.6347
Loss at step 2230: 1.4380
Loss at step 2240: 1.7232
Loss at step 2250: 1.5688
Loss at step 2260: 1.2374
Loss at step 2270: 1.2556
Loss at step 2280: 1.7172
Loss at step 2290: 1.0145
Loss at step 2300: 1.7715
Loss at step 2310: 0.7387
Loss at step 2320: 1.3543
