Parameter 'function'=<function get_omission_datasets.<locals>.pair_func at 0x742707746160> of the transform datasets.arrow_dataset.Dataset._map_single couldn't be hashed properly, a random hash was used instead. Make sure your transforms and parameters are serializable with pickle or dill for the dataset fingerprinting and caching to work. If you reuse this transform, the caching mechanism will consider it to be different from the previous calls and recompute everything. This warning is only showed once. Subsequent hashing failures won't be showed.
Sample 83320 of the training set: {'input_ids': [0, 1039, 21119, 30397, 38873, 10861, 544, 416, 18821, 5357, 5, 30577, 8, 200, 86, 5, 2888, 1411, 66, 2, 2, 44799, 16, 13689, 59, 5, 2888, 544, 61, 16, 45, 447, 4, 50118, 45443, 982, 14, 42, 696, 16, 2121, 8, 5034, 13, 5, 2170, 9, 5, 1316, 8, 67, 982, 14, 51, 33, 10, 2789, 356, 88, 42, 696, 4, 2], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 1}.
***** Running training *****
  Num examples = 92320
  Num Epochs = 3
  Instantaneous batch size per device = 32
  Total train batch size (w. parallel, distributed & accumulation) = 32
  Gradient Accumulation steps = 1
  Total optimization steps = 8655
Loss at step 10: 1.1145
Loss at step 20: 1.1054
Loss at step 30: 1.0878
Loss at step 40: 1.1247
Loss at step 50: 1.0863
Loss at step 60: 1.0000
Loss at step 70: 1.0238
Loss at step 80: 1.0215
Loss at step 90: 0.9705
Loss at step 100: 1.1627
Loss at step 110: 0.9779
Loss at step 120: 1.0033
Loss at step 130: 0.9511
Loss at step 140: 1.0283
Loss at step 150: 0.9236
Loss at step 160: 0.9682
Loss at step 170: 1.2602
Loss at step 180: 1.0983
Loss at step 190: 1.0980
Loss at step 200: 1.0919
Loss at step 210: 1.0624
Loss at step 220: 1.0743
Loss at step 230: 1.0685
Loss at step 240: 1.0781
Loss at step 250: 1.0567
Loss at step 260: 1.1414
Loss at step 270: 1.0637
Loss at step 280: 1.1159
Loss at step 290: 1.1172
Loss at step 300: 1.1863
Loss at step 310: 0.9797
Loss at step 320: 1.0253
Loss at step 330: 0.9044
Loss at step 340: 0.9784
Loss at step 350: 1.1795
Loss at step 360: 0.9027
Loss at step 370: 0.8707
Loss at step 380: 1.3017
Loss at step 390: 1.2873
Loss at step 400: 0.8802
Loss at step 410: 1.0948
Loss at step 420: 1.2023
Loss at step 430: 1.0633
Loss at step 440: 0.8857
Loss at step 450: 1.0843
Loss at step 460: 1.1789
Loss at step 470: 0.9663
Loss at step 480: 0.8874
Loss at step 490: 1.0456
